symbol prob
e     : 0.0953786445763
a     : 0.0880405713913
r     : 0.0673635118388
o     : 0.066075272324
n     : 0.0623083947557
i     : 0.0612158371926
s     : 0.0582316874307
t     : 0.0502576479029
l     : 0.0494423064379
c     : 0.0339182049442
d     : 0.0328908746983
m     : 0.0318309307938
h     : 0.0288793946905
g     : 0.0262866088318
b     : 0.0259767790751
u     : 0.0255038810254
p     : 0.0241014937056
1     : 0.0220305263844
y     : 0.0217533102863
k     : 0.0176929097906
f     : 0.014235861979
w     : 0.0137629639293
2     : 0.00958841562847
v     : 0.00942534733546
j     : 0.00732176635575
3     : 0.00647381123214
z     : 0.00609875415824
0     : 0.00598460635314
4     : 0.00546278781554
5     : 0.00534864001044
9     : 0.00523449220534
6     : 0.00503881025373
x     : 0.00502250342443
7     : 0.00448437805753
8     : 0.00358750244602
q     : 0.00308199073772
*     : 0.000244602439502
?     : 0.000179375122301
.     : 8.15341465006e-05
&     : 3.26136586002e-05
+     : 3.26136586002e-05
-     : 3.26136586002e-05
!     : 1.63068293001e-05
'     : 1.63068293001e-05
;     : 1.63068293001e-05
